Conn Time., Send Time, Recv Time,,,,,
0.4492,0.0473,1.705,,,,,
0.4749,0.0509,1.8915,,,,,
0.5033,0.0515,1.4482,,,,,
0.5028,0.0496,2.1489,,,,,
0.517,0.0433,1.9368,,,,,
0.6162,0.067,2.2246,,,,,
0.5303,0.0605,1.8677,,,,,
0.6119,0.0568,1.7905,,,,,
0.6467,0.0581,2.4582,,,,,
0.5419,0.0286,2.5676,,,,,
0.5817,0.0574,2.3542,,,,,
0.5176,0.0523,1.645,,,,,
0.5259,0.0519,1.804,,,,,
0.6121,0.0609,2.3801,,,,,
0.518,0.0487,1.7621,,,,,
0.4008,0.0409,1.3337,,,,,
0.4894,0.1121,2.1026,,,,,
0.5476,0.0572,1.8117,,,,,
0.6389,0.0624,2.6334,,,,,
0.4622,0.0483,1.6054,,,,,
0.4259,0.0524,1.3803,,,,,
0.419,0.0535,1.2008,,,,,
0.5526,0.0548,1.2984,,,,,
0.3766,0.0497,1.1056,,,,,
0.5541,0.1122,3.8126,,,,,
0.5291,0.0786,1.5367,,,,,
0.3519,0.017,1.2497,,,,,
0.2948,0.0155,1.3112,,,,,
0.2951,0.046,2.0396,,,,,
0.5045,0.0507,2.7865,,,,,
0.781,0.167,1.8439,,,,,
0.5373,0.0635,2.094,,,,,
0.4891,0.0586,2.0105,,,,,
0.4171,0.0442,1.4112,,,,,
0.4955,0.0787,2.5698,,,,,
0.5024,0.0561,1.8399,,,,,
0.4311,0.04,1.5276,,,,,
0.3789,0.0387,1.2245,,,,,
0.3395,0.0173,1.2096,,,,,
0.308,0.0159,1.2689,,,,,
0.3021,0.0153,2.1412,,,,,
0.6434,0.066,2.1551,,,,,
0.5217,0.056,2.0647,,,,,
0.4486,0.0591,2.0176,,,,,
0.439,0.0482,1.8121,,,,,
0.5318,0.1105,2.3187,,,,,
0.5421,0.0288,2.1747,,,,,
0.6039,0.0633,2.3254,,,,,
0.5637,0.0639,2.6094,,,,,
0.5996,0.0311,3.2051,,,,,
0.5244,0.0534,2.0873,,,,,
0.5509,0.0584,2.8908,,,,,
0.6629,0.0872,2.9476,,,,,
0.5417,0.2031,3.1458,,,,,
0.5207,0.029,1.8512,,,,,
0.5366,0.05,1.9847,,,,,
0.4958,0.0684,1.7012,,,,,
0.4294,0.047,2.0698,,,,,
0.7419,0.0958,2.9025,,,,,
0.558,0.0553,1.8836,,,,,
0.4398,0.0459,1.743,,,,,
0.4132,0.0424,1.4,,,,,
0.3699,0.0393,1.2817,,,,,
0.547,0.0567,2.6608,,,,,
0.8776,0.0612,1.6494,,,,,
0.3771,0.0382,1.3237,,,,,
0.2319,0.013,1.0851,,,,,
0.2223,0.0133,1.2142,,,,,
0.2402,0.0134,1.1478,,,,,
0.3094,0.0159,1.2065,,,,,
0.4798,0.0621,1.7429,,,,,
0.3896,0.0408,1.1768,,,,,
0.3426,0.0412,1.2111,,,,,
0.297,0.0361,1.4725,,,,,
0.3357,0.0175,1.3468,,,,,
0.2744,0.0154,1.1788,,,,,
0.3944,0.0516,1.2712,,,,,
0.2954,0.0161,2.057,,,,,
0.6574,0.0767,3.2809,,,,,
0.5754,0.0645,1.5954,,,,,
0.4012,0.0186,1.465,,,,,
0.4536,0.0539,1.3622,,,,,
0.4477,0.0585,2.2085,,,,,
0.5401,0.0723,2.8876,,,,,
0.5485,0.0539,2.4733,,,,,
0.5033,0.0431,1.3626,,,,,
0.3473,0.0179,1.1975,,,,,
0.2657,0.0149,1.2259,,,,,
0.3999,0.0203,1.4525,,,,,
0.3574,0.0181,1.36,,,,,
0.4324,0.0554,1.1865,,,,,
0.3784,0.0397,1.1094,,,,,
0.29,0.0353,1.1575,,,,,
0.3059,0.0372,1.187,,,,,
0.3953,0.053,1.3242,,,,,
0.3927,0.0549,2.2961,,,,,
0.4807,0.0554,1.5879,,,,,
0.6509,0.0671,2.2333,,,,,
0.5443,0.0528,2.1524,,,,,
0.3997,0.0194,1.509,,,,,
0.3809,0.0203,2.1669,,,,,
0.5582,0.061,1.9132,,,,,
0.4388,0.0405,2.2958,,,,,
0.5838,0.0606,2.4738,,,,,
0.5267,0.0305,3.1,,,,,
0.5638,0.061,2.4481,,,,,
0.5295,0.0666,2.5853,,,,,
0.6706,0.0637,2.4786,,,,,
0.5144,0.029,2.5624,,,,,
0.5562,0.0754,4.9522,,,,,
0.5831,0.0633,3.3532,,,,,
0.5572,0.0573,2.5247,,,,,
0.6356,0.1059,2.8205,,,,,
0.5651,0.0637,2.8647,,,,,
0.5771,0.0632,2.5687,,,,,
0.5289,0.0634,3.7459,,,,,
0.5862,0.0931,2.3733,,,,,
0.5431,0.0623,2.17,,,,,
0.5738,0.0689,2.3767,,,,,
0.6105,0.0614,4.5152,,,,,
0.5976,0.0654,2.4598,,,,,
0.5691,0.0609,2.4996,,,,,
0.5618,0.059,2.1017,,,,,
0.6301,0.1061,2.7497,,,,,
0.5939,0.0608,2.6149,,,,,
0.5158,0.0683,2.207,,,,,
0.5036,0.038,2.3213,,,,,
0.3923,0.0468,2.6028,,,,,
0.7165,0.0612,2.3812,,,,,
0.5785,0.0605,2.5709,,,,,
0.4847,0.0435,1.9583,,,,,
0.4861,0.0432,2.4226,,,,,
0.5998,0.0591,2.3657,,,,,
0.5331,0.0578,1.8989,,,,,
0.454,0.0279,2.1331,,,,,
0.5342,0.0767,2.1153,,,,,
0.5794,0.0694,2.8836,,,,,
0.8452,0.0625,2.2397,,,,,
0.5426,0.0614,1.9679,,,,,
0.638,0.0579,2.1873,,,,,
0.5804,0.0653,2.8305,,,,,
0.4991,0.0516,1.788,,,,,
0.6382,0.0652,1.7301,,,,,
0.4395,0.04,1.4828,,,,,
0.3511,0.038,1.1524,,,,,
0.3223,0.0522,1.6966,,,,,
0.633,0.0406,2.9074,,,,,
0.5372,0.0607,2.2764,,,,,
0.5265,0.0436,1.7326,,,,,
0.3842,0.0186,1.8736,,,,,
0.3703,0.0499,1.4473,,,,,
0.5402,0.0598,2.2665,,,,,
0.4576,0.0569,1.8537,,,,,
0.5423,0.044,2.1184,,,,,
0.5716,0.0297,2.0202,,,,,
0.4134,0.0538,2.2141,,,,,
0.5756,0.1219,3.4331,,,,,
0.5504,0.0727,3.1809,,,,,
0.55,0.0621,2.3299,,,,,
0.4885,0.0552,2.927,,,,,
0.504,0.0261,2.4864,,,,,
0.5649,0.1022,2.7352,,,,,
0.6209,0.0745,1.8235,,,,,
0.5065,0.0432,2.0502,,,,,
0.6156,0.0919,2.4509,,,,,
0.5664,0.0522,2.2509,,,,,
0.71,0.0686,2.4939,,,,,
0.5511,0.0608,1.8935,,,,,
0.5443,0.0676,2.3463,,,,,
0.5175,0.0622,1.8924,,,,,
0.5187,0.0684,1.9716,,,,,
0.4857,0.0469,2.177,,,,,
0.5277,0.0547,1.5711,,,,,
0.6344,0.0787,2.3011,,,,,
0.5145,0.0266,2.2044,,,,,
0.5065,0.0303,3.014,,,,,
0.5418,0.0274,2.3123,,,,,
0.5232,0.0575,3.0203,,,,,
0.5554,0.0576,2.3262,,,,,
0.5411,0.0616,2.1491,,,,,
0.5782,0.0551,2.0738,,,,,
0.5534,0.0587,2.4071,,,,,
0.8739,0.0644,2.4295,,,,,
0.5258,0.0606,2.1954,,,,,
0.5364,0.0292,2.2173,,,,,
0.5104,0.0243,2.2047,,,,,
0.783,0.067,2.6427,,,,,
0.5475,0.0557,2.4035,,,,,
0.5886,0.0563,2.0128,,,,,
0.4821,0.0411,1.923,,,,,
0.4687,0.0488,2.1598,,,,,
0.5252,0.0604,2.3227,,,,,
0.5026,0.0567,39.5084,,,,,
0.6312,0.0716,2.2183,,,,,
0.476,0.0235,1.8192,,,,,
0.5372,0.0628,1.9559,,,,,
0.4989,0.0229,2.7344,,,,,
0.663,0.0663,1.9561,,,,,
0.4092,0.0396,1.3092,,,,,
0.3383,0.0375,1.1958,,,,,
0.3197,0.0183,1.5396,,,,,
0.422,0.019,2.4729,,,,,
0.6084,0.0639,1.9126,,,,,
0.4689,0.0483,2.0122,,,,,
0.4768,0.0421,1.2393,,,,,
0.283,0.0154,1.31,,,,,
0.5681,0.0693,1.8374,,,,,
0.5109,0.0743,2.0067,,,,,
0.4356,0.0407,1.5699,,,,,
0.3717,0.0384,1.9351,,,,,
0.382,0.0383,1.1915,,,,,
0.313,0.0394,1.2378,,,,,
